test_type,sample_size,power
KS test,920,0.7329999999999998
KS test,930,0.7600000000000001
KS test,940,0.7640000000000001
KS test,950,0.7639999999999999
KS test,960,0.782
KS test,970,0.7779999999999999
KS test,980,0.7280000000000002
KS test,990,0.802
KS test,1000,0.8130000000000001
t-test,10,0.04200000000000005
t-test,20,0.05799999999999999
t-test,30,0.034000000000000107
t-test,40,0.04400000000000002
t-test,50,0.042000000000000016
t-test,60,0.058000000000000024
t-test,70,0.036
t-test,80,0.050000000000000044
t-test,90,0.047999999999999966
t-test,100,0.05000000000000007
t-test,110,0.051999999999999984
t-test,120,0.050999999999999934
t-test,130,0.052000000000000046
t-test,140,0.05099999999999995
t-test,150,0.05199999999999998
t-test,160,0.052000000000000025
t-test,170,0.04899999999999986
t-test,180,0.04799999999999997
t-test,190,0.05199999999999996
t-test,200,0.05599999999999996
t-test,210,0.048999999999999856
t-test,220,0.05099999999999996
t-test,230,0.05099999999999996
t-test,240,0.05499999999999998
t-test,250,0.04200000000000012
t-test,260,0.05200000000000018
t-test,270,0.05499999999999998
t-test,280,0.055
t-test,290,0.052000000000000025
t-test,300,0.05000000000000012
t-test,310,0.03999999999999999
t-test,320,0.0550000000000001
t-test,330,0.05500000000000003
t-test,340,0.04399999999999998
t-test,350,0.04100000000000001
t-test,360,0.04299999999999991
t-test,370,0.05500000000000005
t-test,380,0.050000000000000086
t-test,390,0.04899999999999993
t-test,400,0.05499999999999998
t-test,410,0.04799999999999997
t-test,420,0.04500000000000003
t-test,430,0.044000000000000025
t-test,440,0.035999999999999976
t-test,450,0.03800000000000005
t-test,460,0.04299999999999993
t-test,470,0.036000000000000025
t-test,480,0.054999999999999945
t-test,490,0.05300000000000002
t-test,500,0.06999999999999995
t-test,510,0.053000000000000026
t-test,520,0.05099999999999988
t-test,530,0.04500000000000005
t-test,540,0.04599999999999999
t-test,550,0.05199999999999997
t-test,560,0.044
t-test,570,0.05300000000000003
t-test,580,0.03999999999999997
t-test,590,0.06999999999999988
t-test,600,0.06300000000000003
t-test,610,0.046000000000000006
t-test,620,0.046000000000000006
t-test,630,0.05199999999999996
t-test,640,0.046999999999999986
t-test,650,0.05300000000000002
t-test,660,0.05999999999999998
t-test,670,0.04500000000000004
t-test,680,0.055999999999999966
t-test,690,0.0520000000000001
t-test,700,0.04500000000000005
t-test,710,0.039
t-test,720,0.053999999999999965
t-test,730,0.05099999999999996
t-test,740,0.04299999999999996
t-test,750,0.05599999999999996
t-test,760,0.05000000000000009
t-test,770,0.0580000000000001
t-test,780,0.05199999999999997
t-test,790,0.05099999999999988
t-test,800,0.05099999999999993
t-test,810,0.05000000000000007
t-test,820,0.04699999999999996
t-test,830,0.04299999999999996
t-test,840,0.05000000000000005
t-test,850,0.058999999999999914
t-test,860,0.03800000000000001
t-test,870,0.05600000000000019
t-test,880,0.05300000000000003
t-test,890,0.050999999999999907
t-test,900,0.044000000000000164
t-test,910,0.04900000000000004
t-test,920,0.066
t-test,930,0.05000000000000013
t-test,940,0.05000000000000002
t-test,950,0.05099999999999997
t-test,960,0.030999999999999993
t-test,970,0.04500000000000005
t-test,980,0.05199999999999996
t-test,990,0.049000000000000044
t-test,1000,0.05000000000000007
