tripduration,starttime,stoptime,start.station.latitude,start.station.longitude,end.station.latitude,end.station.longitude,bikeid,usertype,birth.year,gender,start.date
570,31:42.3,41:12.8,40.7241765,-74.0506564,40.7141454,-74.0335519,42458,Customer,1969,0,2/5/20
186,41:04.3,44:11.1,40.72152515,-74.04630454,40.72759597,-74.04424731,29535,Subscriber,1996,2,7/25/19
411,07:14.0,14:05.7,40.7242941,-74.0354826,40.7127742,-74.0364857,29200,Subscriber,1963,1,9/6/19
156,26:38.2,29:14.6,40.7177325,-74.043845,40.71653978,-74.04963791,26214,Subscriber,1988,1,1/8/20
2268,32:32.4,10:21.2,40.71653978,-74.04963791,40.71653978,-74.04963791,46527,Customer,1997,1,10/19/20
355,24:32.3,30:27.9,40.73367,-74.0625,40.74267714,-74.05178863,29125,Subscriber,1989,1,1/8/19
288,52:28.6,57:16.6,40.72163014,-74.04996783,40.71958612,-74.04311746,42188,Subscriber,1981,1,9/10/20
443,23:45.3,31:08.5,40.71346383,-74.06285852,40.7177325,-74.043845,42479,Subscriber,1987,2,11/10/20
304,04:07.6,09:12.0,40.72210379,-74.071455,40.7308971,-74.06391263,42254,Subscriber,1964,1,3/23/20
348,06:35.8,12:24.4,40.71958612,-74.04311746,40.72759597,-74.04424731,29446,Subscriber,1972,1,11/13/19
287,07:41.7,12:29.2,40.71958612,-74.04311746,40.71653978,-74.04963791,17702,Subscriber,1991,2,9/11/20
1034,15:02.8,32:17.8,40.72533993,-74.06762213,40.73478582,-74.05044364,29485,Subscriber,1965,1,7/9/19
554,20:19.0,29:33.1,40.7308971,-74.06391263,40.72210379,-74.071455,29553,Subscriber,1981,2,7/11/19
794,56:11.1,09:25.8,40.71958612,-74.04311746,40.71346383,-74.06285852,42130,Customer,1969,0,10/24/20
1026,06:45.2,23:51.3,40.7287448,-74.0321082,40.7236589,-74.0641943,29199,Subscriber,1984,1,7/12/19
260,20:42.8,25:03.1,40.7183552,-74.03891444,40.72528911,-74.04557168,35285,Subscriber,1975,1,8/14/20
114,20:39.0,22:33.6,40.72163014,-74.04996783,40.72152515,-74.04630454,29291,Subscriber,1970,1,5/22/19
208,10:56.0,14:24.2,40.71958612,-74.04311746,40.7241765,-74.0506564,29254,Subscriber,1991,1,12/6/19
1289,07:54.1,29:23.8,40.72759597,-74.04424731,40.72601173,-74.05038893,42398,Customer,1969,0,5/22/20
166,04:45.3,07:31.5,40.72568548,-74.04879034,40.72333159,-74.04595256,26180,Subscriber,1970,1,9/1/19
4578,39:27.3,55:46.1,40.7311689,-74.0575736,40.7308971,-74.06391263,42312,Customer,1969,0,3/19/20
2435,04:34.4,45:09.5,40.7308971,-74.06391263,40.7242941,-74.0354826,34020,Customer,1995,2,6/13/20
234,24:59.2,28:53.4,40.72759597,-74.04424731,40.72152515,-74.04630454,29242,Subscriber,1971,1,9/3/19
563,55:40.4,05:04.4,40.7272235,-74.0337589,40.7192517,-74.034234,42480,Customer,1996,1,9/17/20
834,18:05.7,32:00.1,40.73520838,-74.04696375,40.7287448,-74.0321082,42350,Customer,1994,2,10/9/20
232,49:37.8,53:30.1,40.7141454,-74.0335519,40.71241882,-74.03852552,26165,Subscriber,1981,0,5/24/19
382,53:28.5,59:51.5,40.73367,-74.0625,40.74590997,-74.05727148,29287,Subscriber,1980,1,12/23/19
634,42:21.6,52:56.6,40.72759597,-74.04424731,40.71848892,-74.04772663,44434,Subscriber,1987,1,7/9/20
2260,21:14.7,58:54.7,40.71687,-74.03281,40.71687,-74.03281,26719,Customer,1992,2,8/10/20
685,49:19.2,00:44.9,40.7287448,-74.0321082,40.7287448,-74.0321082,44400,Subscriber,1994,2,11/9/20
657,59:27.2,10:24.8,40.72601173,-74.05038893,40.71458404,-74.04281706,29542,Subscriber,1989,1,1/8/19
1746,06:47.5,35:54.1,40.71958612,-74.04311746,40.7192822,-74.07126188,29551,Subscriber,1960,1,2/11/19
381,23:55.5,30:17.1,40.7308971,-74.06391263,40.72572614,-74.07195926,44225,Subscriber,1992,1,8/2/20
443,18:20.2,25:43.5,40.72759597,-74.04424731,40.71687,-74.03281,29503,Subscriber,1969,1,10/25/19
432,27:26.2,34:39.0,40.7211236,-74.03805095,40.71241882,-74.03852552,38358,Subscriber,1986,1,10/1/20
191,36:12.8,39:24.3,40.7211236,-74.03805095,40.71649,-74.04105,26160,Subscriber,1988,1,2/25/19
271,01:50.9,06:22.2,40.7177325,-74.043845,40.71517768,-74.03768331,39920,Subscriber,1991,1,12/5/20
364,46:58.4,53:03.0,40.71687,-74.03281,40.71241882,-74.03852552,45363,Subscriber,1978,2,10/23/20
1007,04:23.6,21:11.2,40.71653978,-74.04963791,40.71848892,-74.04772663,45341,Subscriber,1985,1,10/7/20
197,12:14.0,15:32.0,40.7141454,-74.0335519,40.71241882,-74.03852552,29282,Subscriber,1981,2,9/3/19
295,10:54.7,15:50.5,40.7211236,-74.03805095,40.7127742,-74.0364857,29520,Subscriber,1978,1,7/16/19
348,17:05.3,22:53.6,40.73367,-74.0625,40.7376037,-74.0524783,26214,Customer,1969,0,8/30/19
516,34:05.7,42:42.0,40.73367,-74.0625,40.74267714,-74.05178863,29209,Subscriber,1988,2,6/7/19
392,06:25.5,12:58.3,40.72601173,-74.05038893,40.71958612,-74.04311746,42120,Subscriber,1973,2,11/25/20
394,04:38.2,11:12.8,40.72759597,-74.04424731,40.7272235,-74.0337589,29618,Subscriber,1973,2,11/30/19
710,28:24.4,40:15.2,40.71653978,-74.04963791,40.7183552,-74.03891444,39826,Subscriber,1981,1,10/13/20
268,12:26.6,16:54.8,40.72568548,-74.04879034,40.71958612,-74.04311746,26219,Subscriber,1981,2,6/11/19
350,03:50.8,09:40.9,40.71458404,-74.04281706,40.7183552,-74.03891444,29512,Subscriber,1985,1,8/31/19
529,46:52.6,55:41.8,40.7242941,-74.0354826,40.7141454,-74.0335519,42353,Subscriber,1975,1,6/7/20
516,11:28.2,20:04.6,40.7308971,-74.06391263,40.7246051,-74.07840595,29456,Subscriber,1985,2,9/9/19
3255,02:50.4,57:05.6,40.7112423,-74.0557013,40.7177325,-74.043845,26293,Customer,1969,0,8/12/19
292,43:06.8,47:58.9,40.72572614,-74.07195926,40.7308971,-74.06391263,42285,Subscriber,1994,2,6/17/20
1483,23:59.6,48:43.4,40.71458404,-74.04281706,40.72755147,-74.07106072,42414,Subscriber,1980,1,4/5/20
267,55:00.8,59:28.5,40.71958612,-74.04311746,40.72568548,-74.04879034,42208,Subscriber,1982,2,2/5/20
2716,43:21.2,28:38.1,40.7308971,-74.06391263,40.7182113,-74.0836394,46531,Subscriber,1994,1,10/26/20
313,31:56.8,37:10.0,40.72759597,-74.04424731,40.71958612,-74.04311746,26206,Subscriber,1990,1,9/30/19
98,45:25.2,47:03.6,40.7211236,-74.03805095,40.7183552,-74.03891444,29247,Subscriber,1963,1,5/4/19
77,55:18.0,56:35.6,40.71958612,-74.04311746,40.7177325,-74.043845,42148,Subscriber,1974,1,2/26/20
779,04:23.3,17:23.2,40.71458404,-74.04281706,40.71958612,-74.04311746,42125,Subscriber,1982,1,3/21/20
171,17:43.4,20:34.5,40.72533993,-74.06762213,40.7308971,-74.06391263,29670,Subscriber,1966,1,8/13/19
660,20:40.1,31:40.7,40.71958612,-74.04311746,40.7242941,-74.0354826,45278,Subscriber,1990,1,9/12/20
337,41:13.2,46:51.2,40.72568548,-74.04879034,40.7242941,-74.0354826,29490,Subscriber,1983,2,12/4/19
639,31:43.4,42:22.6,40.72152515,-74.04630454,40.71653978,-74.04963791,26287,Customer,1969,0,4/27/19
70,00:40.0,01:50.3,40.72152515,-74.04630454,40.72333159,-74.04595256,42135,Subscriber,1964,2,2/12/20
1636,28:04.3,55:20.3,40.7246051,-74.07840595,40.7246051,-74.07840595,44396,Customer,1995,2,7/9/20
292,16:38.6,21:30.9,40.72568548,-74.04879034,40.71942,-74.05099,29495,Subscriber,1981,2,6/30/19
281,32:00.6,36:42.2,40.7192517,-74.034234,40.7127742,-74.0364857,29288,Subscriber,1984,2,5/4/19
589,05:26.1,15:15.6,40.72601173,-74.05038893,40.7183552,-74.03891444,25541,Subscriber,1989,2,11/20/20
86,09:23.1,10:49.5,40.7127742,-74.0364857,40.7141454,-74.0335519,29206,Subscriber,1984,1,7/9/19
397,11:30.6,18:08.2,40.7287448,-74.0321082,40.7242941,-74.0354826,42131,Subscriber,1987,1,4/9/20
132,17:26.1,19:38.8,40.71687,-74.03281,40.7192517,-74.034234,42456,Subscriber,1992,1,10/4/20
212,28:49.4,32:21.5,40.72165072,-74.04288411,40.72333159,-74.04595256,42116,Subscriber,1957,1,8/6/20
214,23:54.5,27:29.2,40.72568548,-74.04879034,40.71958612,-74.04311746,29453,Subscriber,1980,1,6/24/19
1596,52:29.3,19:06.3,40.7192517,-74.034234,40.7192517,-74.034234,42494,Customer,2000,2,8/9/20
399,00:36.7,07:16.0,40.72759597,-74.04424731,40.7177325,-74.043845,26296,Subscriber,1978,2,12/23/19
5823,45:38.5,22:42.0,40.71687,-74.03281,40.71687,-74.03281,42188,Customer,1969,0,6/9/20
1159,20:47.1,40:06.1,40.7192822,-74.07126188,40.71687,-74.03281,26178,Subscriber,1986,2,11/22/19
548,43:29.8,52:38.6,40.7308971,-74.06391263,40.7192822,-74.07126188,29275,Subscriber,1988,1,11/29/19
581,33:10.6,42:52.0,40.72210379,-74.071455,40.72601173,-74.05038893,44781,Subscriber,1989,1,8/21/20
270,54:39.6,59:10.5,40.7192517,-74.034234,40.7272235,-74.0337589,26206,Subscriber,1989,1,1/7/19
